num;site;n;lat;long;period
1;Angara;1;52.2145;104.3486667;Neolithic
2;Bazaikha;1;55.99033333;99.51766667;Neolithic
3;Glazkovskoe predmestie;3;52.27905556;104.2517778;Neolithic
4;Iushino;1;54.87072222;106.2550556;Neolithic
5;Jazikovo;1;57.46563889;37.26625;Neolithic
6;Kachug;2;53.94944444;105.8901944;Neolithic
7;Karavaikha;2;60.4565;38.63905556;Mesolithic
8;Khaptsagay;7;53.04452778;105.5105833;Neolithic
9;Khvalynsk;1;53.04452778;105.5105833;Mesolithic
10;Minino I;7;59.7;39.5;Mesolithic/Neolithic
11;Minino II;3;59.7;39.5;Mesolithic/Neolithic
12;Pogosticii;1;60.46116667;38.63997222;Mesolithic
13;Satanaj Grotto;1;44.32366667;40.629;Neolithic
14;Stepno-Baltaiskii ulus;2;60.71786111;114.9428333;Neolithic
15;Vasilievka 1;3;48.22063889;35.4035;Mesolithic
16;Voloshskoe;6;48.30369444;35.14533333;Mesolithic
17;Zapleskina;2;54.38633333;117.1955556;Neolithic
;;;;;